Number|Gender|GivenName|Surname|StreetAddress|City|State|ZipCode|CountryFull|TelephoneNumber|Birthday|NationalID|Occupation|CCType
7819|male|Erick|Correia|Rua Romano Durigan 490|Curitiba|PR|82020-370|Brazil|(41) 2926-9297|12/17/1976|785.110.105-05|Prepress worker|MasterCard
7820|male|Gabriel|Alves|Rua do Amor-Perfeito 371|Pindamonhangaba|SP|12440-330|Brazil|(12) 8808-8196|12/6/1965|976.193.162-56|Shoe and leather worker|MasterCard
7821|male|Martim|Sousa|Rua Vergilino Domingos da Silva 548|São José|SC|88115-170|Brazil|(48) 8414-3664|4/24/1976|467.012.697-02|Community support worker|MasterCard
7822|male|Marcos|Rodrigues|Rua Leandro Martins 1323|Rio de Janeiro|RJ|20080-070|Brazil|(21) 8463-8055|4/17/1949|357.615.773-56|Telephone installer|Visa
7823|male|Rafael|Melo|Rua J 1918|Três Lagoas|MS|79621-273|Brazil|(67) 5196-3537|8/5/1939|996.255.643-06|Deck officer|MasterCard
7824|female|Aline|Cardoso|Rua do Cravo 787|Porto Velho|RO|78912-650|Brazil|(69) 4317-3348|12/30/1945|896.587.754-70|Immunology technologist|MasterCard
7825|female|Evelyn|Pereira|Rua Poveiras 1292|São Paulo|SP|04610-090|Brazil|(11) 4590-8073|10/10/1952|180.208.547-54|Long-term care facility nurse|MasterCard
7826|female|Leila|Martins|Rua Kennedy 294|Belo Horizonte|MG|31750-210|Brazil|(31) 3416-2127|10/29/1990|754.257.610-07|Civil service clerk|MasterCard
7827|male|Pedro|Santos|Praça Odilon Ventania 994|São Paulo|SP|03070-005|Brazil|(11) 4315-3107|1/17/1930|240.170.500-77|Fast-food cook|Visa
7828|male|Carlos|Goncalves|Avenida Transoceânica 702|Várzea Grande|MT|78140-500|Brazil|(65) 2226-5555|5/30/1964|174.358.085-12|Electronic publisher|MasterCard
7829|male|Luiz|Almeida|Rua Pedro Barbosa Gama 636|Barra Mansa|RJ|27338-480|Brazil|(24) 6364-5510|6/4/1947|994.399.579-30|Credit investigator|Visa
7830|male|Luís|Silva|Rua Amapá 1109|Guarapuava|PR|85023-010|Brazil|(42) 8068-7152|7/10/1979|257.540.884-93|Electronic publishing specialist|MasterCard
7831|male|Antônio|Ribeiro|Praça Josei Toda 277|São Paulo|SP|05396-446|Brazil|(11) 9698-5480|1/6/1947|798.250.760-38|Medicinal chemist|MasterCard
7832|female|Júlia|Dias|Quadra QS 05 Rua 420 431|Taguatinga|DF|71961-180|Brazil|(61) 5091-4107|12/5/1961|769.038.549-40|Treatment plant and system operator|MasterCard
7833|female|Brenda|Correia|Rua Três 709|Caçapava|SP|12294-190|Brazil|(12) 7383-3287|5/6/1949|529.682.634-55|Gastroenterologist|Visa
7834|male|Felipe|Dias|Rua Manuel Alves Costa 1183|São Paulo|SP|08310-070|Brazil|(11) 9666-6534|8/27/1990|546.987.487-71|Legislator|MasterCard
7835|male|Tomás|Oliveira|Travessa Lili Barros 930|Palmeira dos Índios|AL|57608-470|Brazil|(82) 5864-3108|3/17/1974|513.552.611-04|Cutting and slicing machine setter|MasterCard
7836|female|Camila|Costa|Rua Carlos Tasso Rodrigues da Cunha 1263|Uberaba|MG|38070-230|Brazil|(34) 6168-8612|8/3/1961|202.651.900-53|Fitness director|MasterCard
7837|male|Ryan|Cardoso|Rua Azurita 1570|Recife|PE|52110-370|Brazil|(81) 9194-4635|9/1/1981|148.988.973-63|Locomotive engineer|Visa
7838|female|Leonor|Carvalho|Rua Manoel Gonçalves Rezende 1661|Uberaba|MG|38040-240|Brazil|(34) 4208-7257|8/15/1959|731.190.758-68|Library clerk|MasterCard
7839|male|Daniel|Ferreira|Rua do Canto da Bailarina 846|São Paulo|SP|08470-803|Brazil|(11) 3273-2695|11/16/1978|469.447.436-71|Recruiting manager|Visa
7840|male|Rafael|Cunha|Rua Marechal Maciel 1426|Resende|RJ|27533-260|Brazil|(24) 2941-8183|8/15/1972|527.839.540-01|Paper goods operator|MasterCard
7841|female|Julieta|Pereira|Alameda Arthur Targino 1970|Castanhal|PA|68743-450|Brazil|(91) 4361-2666|11/6/1941|917.647.431-30|Athletic director|MasterCard
7842|male|Antônio|Rocha|Rua Marco Antônio Dias 682|Rio de Janeiro|RJ|23587-360|Brazil|(21) 9033-2955|6/19/1975|211.103.704-40|Claims representative|MasterCard
7843|male|Fábio|Santos|Rua José Geraldo Prata 338|Uberlândia|MG|38415-351|Brazil|(34) 9741-7900|8/22/1984|729.656.010-07|Management dietitian|Visa
7844|female|Evelyn|Rocha|Rua Monte Castelo 1158|Belo Horizonte|MG|30290-210|Brazil|(31) 9871-4363|8/16/1946|238.239.230-48|Ophthalmic nurse|Visa
7845|male|Matheus|Carvalho|Rua Santos Dumont 157|Sabará|MG|34585-050|Brazil|(31) 7309-5845|3/7/1976|212.337.880-19|Data coder operator|MasterCard
7846|male|Tiago|Cardoso|Rua Professor Daijiro Matsuda 1487|Taboão da Serra|SP|06780-300|Brazil|(11) 8715-9501|5/26/1988|752.174.666-00|Clinical manager|Visa
7847|female|Beatrice|Oliveira|Rua Maurício Jacquey 1082|São Bernardo do Campo|SP|09635-080|Brazil|(11) 9303-7575|12/8/1929|968.809.389-06|Health care interpreter|MasterCard
7848|female|Bruna|Martins|Rua Alfredo Spinola de Mello 1272|Americana|SP|13469-570|Brazil|(19) 2680-4731|6/29/1972|585.124.380-53|Bookmobile driver|Visa
7849|male|Miguel|Cunha|Estrada do Corta Rabicho 1609|Itaquaquecetuba|SP|08599-640|Brazil|(11) 8075-5364|5/7/1980|990.348.140-33|Cellular technician|Visa
7850|female|Sofia|Dias|Rua B 24 1383|Manaus|AM|69046-560|Brazil|(92) 4523-4855|12/24/1937|705.938.290-93|Dry-cleaning worker|MasterCard
7851|male|Bruno|Ferreira|Rua São João 458|Alvorada|RS|94814-610|Brazil|(51) 6222-2990|11/8/1964|975.122.220-68|Power plant distributor|Visa
7852|female|Yasmin|Silva|Rua Edward Bellamy 1791|São Paulo|SP|04836-240|Brazil|(11) 6190-7307|9/1/1969|538.815.308-86|Sawing machine operator|Visa
7853|male|Igor|Barros|Rua Marquês de Caravelas 235|Chapecó|SC|89803-290|Brazil|(49) 2826-8013|6/4/1979|528.833.599-03|Delivery service driver|Visa
7854|female|Gabrielle|Melo|Rua H 1206|Umuarama|PR|87509-330|Brazil|(44) 5163-6004|8/11/1949|550.889.138-26|Applications engineer|Visa
7855|female|Fernanda|Azevedo|Rua Vinte e Sete 1458|Campinas|SP|13098-027|Brazil|(19) 9071-9089|10/4/1953|216.413.816-39|Broadcast captioner|MasterCard
7856|male|Breno|Gomes|Rua Carolina Nabuco 49|Rio de Janeiro|RJ|22725-230|Brazil|(21) 3919-7915|6/15/1983|436.012.399-06|Customer service representative|Visa
7857|female|Júlia|Costa|Rua Lúcio Alves da Silva 641|Ponta Grossa|PR|84035-150|Brazil|(42) 3090-7832|4/4/1932|485.594.075-53|Ophthalmic laboratory technician|Visa
7858|female|Marina|Cavalcanti|Travessa Tancredo Neves 1697|Fortaleza|CE|60543-490|Brazil|(85) 4139-6320|8/6/1928|111.665.288-98|Web programmer|MasterCard
7859|female|Nicole|Melo|Rua São Pedro 1232|Niterói|RJ|24020-057|Brazil|(21) 3773-9283|10/27/1974|383.139.078-94|Personnel analyst|MasterCard
7860|male|João|Pinto|Rua Marlene Alves Caixeta 1564|Patos de Minas|MG|38700-277|Brazil|(34) 5012-4919|5/20/1980|904.577.275-27|Fire dispatcher|Visa
7861|female|Giovanna|Goncalves|Rua Oscar de Assis Pereira 45|Barbacena|MG|36205-502|Brazil|(32) 6297-7832|4/15/1979|415.254.677-86|Plasma cutter|Visa
7862|male|Julian|Alves|Rua Alfredo Jung 764|Gravataí|RS|94085-250|Brazil|(51) 6522-6572|11/19/1945|502.275.817-25|Labor relations director|Visa
7863|female|Carla|Silva|Rua Raul Moreira Campos 596|Barbacena|MG|36205-632|Brazil|(32) 7382-3810|12/13/1948|525.254.497-20|Essayist|MasterCard
7864|male|Vitor|Dias|Quadra QR 503 Conjunto 07 632|Samambaia|DF|72311-607|Brazil|(61) 7247-5685|10/26/1946|261.073.600-26|Card punching machine operator|MasterCard
7865|male|Nicolas|Ferreira|Rua B 23 1439|Goiânia|GO|74365-510|Brazil|(62) 9366-9905|10/2/1972|182.423.723-57|Auditor|MasterCard
7866|male|Diego|Azevedo|Rua do Petróleo 1787|Natal|RN|59076-340|Brazil|(84) 6015-5337|2/28/1964|492.817.084-93|Color printer operator|Visa
7867|male|Lucas|Lima|Avenida Benedito Borges de Almeida 1957|Anápolis|GO|75093-050|Brazil|(62) 4433-7161|8/10/1957|356.742.037-25|Management assistant|Visa
7868|male|Enzo|Fernandes|Rua Antônio Magalhães Rossell 1711|Bagé|RS|96407-360|Brazil|(53) 9509-2096|9/19/1956|808.924.633-84|Fiscal technician|MasterCard
7869|female|Beatriz|Martins|Travessa Neca Martins 746|Divinópolis|MG|35500-123|Brazil|(37) 9096-7544|7/4/1935|684.020.708-09|Concrete finisher|Visa
7870|male|Vitor|Barros|Rua Cleófas Mosca Milani 456|Indaiatuba|SP|13345-452|Brazil|(19) 8933-2874|1/18/1948|297.629.012-15|Transmission technician|Visa
7871|female|Emily|Costa|Praça Professora Rosa Kolody 441|Curitiba|PR|80620-500|Brazil|(41) 2781-6562|11/7/1980|652.727.262-60|Sales manager|MasterCard
7872|female|Giovana|Martins|Rua Aldo Silveiro Chaves 1172|Porto Alegre|RS|91910-600|Brazil|(51) 8471-2505|8/1/1985|621.077.156-45|Computer chip processor|MasterCard
7873|female|Amanda|Dias|Avenida Rio Branco 969|Jequié|BA|45201-262|Brazil|(73) 2130-2156|3/5/1977|264.387.644-00|Contract skidder|Visa
7874|female|Sophia|Lima|Rua Dona Dorinha de Figueiredo 1194|Campo Grande|MS|79080-401|Brazil|(67) 4553-7759|6/9/1971|956.231.104-01|Constructor|Visa
7875|male|Kai|Dias|Rua Monsenhor David Alcântara 717|Governador Valadares|MG|35030-380|Brazil|(33) 2055-9852|12/12/1936|554.094.190-06|Auditor|Visa
7876|female|Carolina|Pinto|Travessa Maciel 79|Cachoeirinha|RS|94965-465|Brazil|(51) 5726-6276|5/13/1947|433.342.299-04|Environmental technician|Visa
7877|male|Kai|Barbosa|Rua João Francisco Nascimento 1721|Arapiraca|AL|57314-070|Brazil|(82) 9284-4287|8/11/1951|533.923.430-48|Head cook|MasterCard
7878|male|Ryan|Oliveira|Quadra SGAS 908/909 1487|Brasília|DF|70390-085|Brazil|(61) 2477-9888|11/17/1937|659.782.612-45|Computer database administrator|Visa
7879|male|Erick|Silva|Rua Porto Militão 930|São Paulo|SP|01549-050|Brazil|(11) 4517-6611|4/28/1983|580.684.399-86|Set and exhibit designer|Visa
7880|male|Enzo|Correia|Rua Beija-Flor 1256|Uberlândia|MG|38406-347|Brazil|(34) 5032-2565|6/14/1968|287.335.588-33|HIV/AIDS nurse|Visa
7881|male|Arthur|Sousa|Rua José Mendes 1447|Botucatu|SP|18601-744|Brazil|(14) 5138-4949|7/9/1928|503.419.951-34|Funeral attendant|MasterCard
7882|female|Lara|Silva|Rua Belarmino Bueno 1604|Leme|SP|13615-547|Brazil|(19) 8055-2331|3/28/1958|494.407.847-17|Recreation and parks director|MasterCard
7883|female|Brenda|Souza|Rua Pirajussara 894|Campo Grande|MS|79023-400|Brazil|(67) 7927-9668|6/3/1942|943.853.562-46|Stationary engineer|MasterCard
7884|male|Leonardo|Correia|Rua Teodomiro Cruz 1113|Belo Horizonte|MG|30240-530|Brazil|(31) 3464-6611|4/8/1957|152.828.493-30|Retail buyer|Visa
7885|male|Victor|Pereira|Rua Dezoito 1092|Ribeirão das Neves|MG|33927-023|Brazil|(31) 9667-4176|4/6/1965|671.948.890-21|Organizational development manager|Visa
7886|male|Pedro|Sousa|Travessa Aiala 968|São Paulo|SP|02618-230|Brazil|(11) 7501-4998|1/20/1992|558.129.283-39|Fast-food cook|Visa
7887|male|Kaua|Fernandes|Rua Santa Catarina 318|Ribeirão das Neves|MG|33936-190|Brazil|(31) 3174-3575|8/11/1990|566.884.083-25|Unclaimed property officer|Visa
7888|female|Júlia|Cardoso|Rua Conde Genésio 1794|São José do Rio Preto|SP|15030-760|Brazil|(17) 8788-6245|11/5/1932|529.594.718-14|Police dispatcher|MasterCard
7889|male|Fábio|Lima|Quadra QR 01-A Conjunto C 623|Candangolândia|DF|71727-103|Brazil|(61) 8094-4973|10/20/1978|825.771.571-93|Farm equipment mechanic|MasterCard
7890|female|Carla|Melo|Quadra SHIN QI 14 Conjunto 02 1627|Lago Norte|DF|71530-020|Brazil|(61) 4715-7514|11/23/1970|820.712.305-23|Conference service coordinator|Visa
7891|male|Lucas|Rodrigues|Vila São Miguel 908|Natal|RN|59022-396|Brazil|(84) 4864-6145|12/22/1965|254.066.527-61|Broker|Visa
7892|female|Marina|Ribeiro|Rua Mirador 62|Rio de Janeiro|RJ|21760-170|Brazil|(21) 5387-2973|3/17/1983|775.283.571-46|Plant scientist|MasterCard
7893|female|Ágatha|Almeida|Rua Professor Oscar Milton de Godoy 244|São Paulo|SP|04861-030|Brazil|(11) 9373-7479|7/15/1993|570.684.291-49|Appraiser|MasterCard
7894|female|Ágatha|Rodrigues|Rua Marechal José B. Bormann - E 1255|Chapecó|SC|89802-122|Brazil|(49) 7138-8775|10/14/1982|715.555.025-63|Paper goods tender|Visa
7895|male|Eduardo|Ferreira|Servidão Sotero Farias 730|Florianópolis|SC|88048-417|Brazil|(48) 8602-4903|5/24/1980|430.560.555-47|Forming machine operator|MasterCard
7896|female|Laura|Sousa|Rua Felipe Camarão 221|Mossoró|RN|59607-340|Brazil|(84) 7166-2257|6/9/1992|909.212.340-40|Technical support specialist|Visa
7897|female|Lavinia|Costa|Rua Vinte 1426|Poços de Caldas|MG|37706-119|Brazil|(35) 8237-2890|10/7/1938|662.533.630-00|Data typist|Visa
7898|male|Renan|Martins|Rua Orélio Lolli 1500|Birigüi|SP|16201-110|Brazil|(18) 3466-9257|3/30/1982|976.578.658-14|Short-order cook|MasterCard
7899|female|Giovanna|Souza|Passagem Ribeiro 228|Belém|PA|66921-180|Brazil|(91) 7403-6370|10/11/1945|874.113.766-39|Veterinary technician|MasterCard
7900|female|Luana|Araujo|Rua Seis 1978|Francisco Morato|SP|07932-070|Brazil|(11) 3215-6829|12/13/1975|124.588.354-22|Employment coordinator|MasterCard
7901|male|Arthur|Rocha|Rua A 29 360|Manaus|AM|69046-310|Brazil|(92) 2414-5990|4/21/1976|546.378.023-42|Mason|MasterCard
7902|female|Marisa|Fernandes|Beco Cinco 144|Porto Alegre|RS|90240-290|Brazil|(51) 2342-9007|10/7/1930|541.623.193-91|Mathematician|MasterCard
7903|female|Maria|Melo|Rua Magarino Torres 1638|Teresópolis|RJ|25976-145|Brazil|(21) 4250-8722|8/11/1934|305.866.006-55|Contract skidder|MasterCard
7904|female|Carla|Alves|Rua Carlos Amadeu Bizelli 1390|Araraquara|SP|14807-293|Brazil|(16) 7003-6195|12/10/1987|674.533.703-70|Deputy sheriff|Visa
7905|female|Carolina|Santos|Rua Doutor Joaquim Taveira 114|Goiânia|GO|74345-170|Brazil|(62) 8131-5600|5/30/1982|896.881.300-01|U.S. Deputy Marshal|Visa
7906|female|Bianca|Pereira|Rua 48 1092|São Sebastião|DF|71691-010|Brazil|(61) 8452-2033|2/17/1931|140.416.085-03|Airframe mechanic|Visa
7907|female|Luana|Fernandes|Rua Jardim Marabá 735|Blumenau|SC|89046-575|Brazil|(47) 3788-9168|12/26/1960|671.055.993-91|Rail-track laying and maintenance equipment operator|MasterCard
7908|male|Caio|Souza|Rua Bolívia 1667|Nova Iguaçu|RJ|26062-640|Brazil|(21) 7815-6941|9/7/1951|445.428.572-12|Videographer|Visa
7909|male|Kaua|Oliveira|Praça 14 Bis 731|Tatuí|SP|18280-460|Brazil|(15) 8992-7507|3/12/1930|771.534.322-64|Greeter|MasterCard
7910|female|Sofia|Goncalves|Rua Luiz Geraldo de Farias 891|Criciúma|SC|88811-198|Brazil|(48) 7734-6316|3/30/1987|492.791.303-15|Typographer|Visa
7911|female|Lavinia|Sousa|Rua Aratuípe 621|Salvador|BA|41152-145|Brazil|(71) 7368-4373|4/8/1929|121.455.689-21|Electronic data processor|MasterCard
7912|male|Thiago|Santos|Rua Ivan Iglesias 1708|Porto Alegre|RS|91210-340|Brazil|(51) 6494-2892|7/14/1945|730.918.435-13|Wire installer|Visa
7913|male|Vinicius|Goncalves|Quadra Quadra 132 1529|Luziânia|GO|72859-132|Brazil|(61) 6228-9104|11/4/1945|599.610.303-62|Local transit bus driver|MasterCard
7914|female|Julieta|Rocha|Rua Tomé de Souza 1623|Caruaru|PE|55024-280|Brazil|(81) 4237-9731|4/25/1938|627.732.202-85|Photoengraver|Visa
7915|male|André|Correia|Rua Gaspar Dutra 1884|Araguaína|TO|77823-510|Brazil|(63) 6180-4780|11/5/1989|178.036.779-16|Tire repairer|MasterCard
7916|female|Letícia|Goncalves|Rua Ida Ayres Pinerolli 8|Itapetininga|SP|18214-430|Brazil|(15) 7572-8245|10/30/1940|798.931.403-74|Control and valve repairer|Visa
7917|male|João|Araujo|Praça Antônio Vieira Tavares 588|Salto|SP|13320-219|Brazil|(11) 4901-7378|2/18/1968|915.947.056-90|Gaming change person|MasterCard
7918|female|Sarah|Araujo|Beco Nossa Senhora Aparecida 1725|Vitória|ES|29027-460|Brazil|(27) 6317-7460|7/29/1932|691.478.486-85|Boilermaker|Visa
7919|male|Daniel|Martins|Avenida Pio XII 1294|Maceió|AL|57035-560|Brazil|(82) 3127-8268|1/2/1986|185.141.190-95|Data entry clerk|MasterCard
7920|male|Samuel|Almeida|Avenida Barra de São Francisco 727|Linhares|ES|29901-530|Brazil|(27) 4435-5849|3/3/1978|710.698.019-68|Financial examiner|Visa
7921|male|José|Gomes|Rua Adriano Ferreira Martins 1081|Barbacena|MG|36200-390|Brazil|(32) 5554-8825|4/14/1975|732.798.663-40|Human resources consultant|MasterCard
7922|female|Livia|Santos|Quadra QNL 06 Bloco I 1836|Taguatinga|DF|72155-619|Brazil|(61) 7352-2411|7/8/1940|536.133.651-38|Labor economist|MasterCard
7923|male|Antônio|Silva|Rua Deocleciano Sampaio 1017|Itumbiara|GO|75535-350|Brazil|(64) 7980-4466|12/26/1962|684.704.289-34|Medical equipment preparer|MasterCard
7924|male|Douglas|Almeida|Rua Mestre Firmino 1223|Contagem|MG|32041-060|Brazil|(31) 3745-7295|5/17/1969|709.502.335-28|Homemaker|Visa
7925|female|Melissa|Correia|Rua Arantina 121|Belo Horizonte|MG|31812-010|Brazil|(31) 4918-9169|8/24/1930|283.887.673-21|Automotive glass repairer|Visa
7926|male|Kauã|Silva|Rua São Francisco de Assis 1772|Gravatá|PE|55641-190|Brazil|(81) 8390-2247|1/12/1988|965.301.582-60|Boilermaker|MasterCard
7927|female|Leonor|Silva|Rua Alem do Horizonte 158|Rio de Janeiro|RJ|22725-010|Brazil|(21) 2659-9978|6/11/1964|978.521.964-03|Organizational development manager|Visa
7928|male|Kai|Gomes|Rua República do Equador 1605|Santos|SP|11030-151|Brazil|(11) 9806-4915|8/19/1946|766.825.487-02|Truck dispatcher|MasterCard
7929|male|Nicolas|Lima|Rua Jaú 592|Gravataí|RS|94150-060|Brazil|(51) 5444-6473|8/5/1973|715.403.136-03|Taper|MasterCard
7930|female|Emily|Souza|Rua Manoel da Silva Ribeiro 746|Suzano|SP|08683-080|Brazil|(11) 9490-9923|6/8/1951|906.267.179-90|Unlicensed assistive personnel|Visa
7931|female|Amanda|Pereira|Rua Adolfo Francisco Machado 460|Pelotas|RS|96070-010|Brazil|(53) 7365-2250|2/18/1989|133.547.982-11|Urology nurse|Visa
7932|male|Vinícius|Gomes|Rua Nossa Senhora da Conceição 1016|Feira de Santana|BA|44050-710|Brazil|(75) 9008-2514|9/25/1964|335.811.311-61|Front office manager|MasterCard
7933|female|Bianca|Ribeiro|Rua Ambrósio Braga 942|Juiz de Fora|MG|36010-420|Brazil|(32) 9741-8967|7/26/1982|275.058.550-34|Midshipman|MasterCard
7934|male|Fábio|Carvalho|Rua Córrego Santa Terezinha 531|Recife|PE|52390-080|Brazil|(81) 3358-7723|7/22/1986|340.173.827-54|Travel consultant|Visa
7935|female|Brenda|Martins|Rua Pacheco Miranda 1896|São Paulo|SP|04503-080|Brazil|(11) 6421-9537|11/22/1940|166.799.529-48|Counter clerk|Visa
7936|male|Breno|Gomes|Rua União 782|São Luís|MA|65047-810|Brazil|(98) 8403-2281|4/6/1954|835.139.578-15|Lithographer|Visa
7937|female|Sofia|Barbosa|Rua Doutor Octávio Martins e Toledo 1524|Franco da Rocha|SP|07852-220|Brazil|(11) 4606-3027|9/21/1929|627.981.215-40|Promoter|Visa
7938|female|Beatrice|Fernandes|Rua Nove 1938|Bauru|SP|17064-859|Brazil|(14) 6020-4558|3/29/1976|489.772.258-68|Transportation ticket agent|MasterCard
7939|female|Matilde|Sousa|Quadra QNL 19 Bloco F 1465|Taguatinga|DF|72152-016|Brazil|(61) 6819-5635|7/8/1991|612.415.023-90|Dairy farmer|MasterCard
7940|male|Kai|Alves|Avenida Getúlio Vargas 173|Boa Vista|RR|69301-031|Brazil|(95) 4918-4290|6/22/1954|252.863.194-40|Optical mechanic|Visa
7941|male|Rodrigo|Rocha|Rua Pirilampo 68|Guarapari|ES|29221-225|Brazil|(27) 3388-6397|2/14/1966|809.444.789-30|Rail yard engineer|MasterCard
7942|male|Kauê|Pinto|Avenida Coronel Quito Junqueira 858|Ribeirão Preto|SP|14085-620|Brazil|(16) 8412-7621|8/3/1989|664.824.773-80|Library media assistant|MasterCard
7943|male|Caio|Santos|Rua Antônio Décio Roscani 1573|Jaú|SP|17208-539|Brazil|(17) 6459-5927|11/30/1964|136.865.224-70|Technician|MasterCard
7944|male|Murilo|Sousa|Rua Paranatinga 1003|Várzea Grande|MT|78158-820|Brazil|(65) 7608-3584|5/6/1965|417.604.410-15|Public health dentist|MasterCard
7945|female|Clara|Araujo|Rua Simões 861|São Paulo|SP|02431-160|Brazil|(11) 6120-4782|8/22/1956|359.881.164-00|Dental surgery doctor|Visa
7946|female|Alice|Fernandes|Travessa Caparó 1475|São Paulo|SP|04317-252|Brazil|(11) 3580-5006|12/6/1941|728.849.073-43|Heating and air-conditioning and and refrigeration engineer|Visa
7947|male|Douglas|Carvalho|Rua Manuel Pinto de Carvalho 1733|São Paulo|SP|02712-120|Brazil|(11) 5184-9926|1/22/1952|982.964.560-60|Coil taper|Visa
7948|male|Gustavo|Lima|Quadra 606 Sul Alameda Siron Franco 1989|Palmas|TO|77022-074|Brazil|(63) 6087-5525|7/1/1931|626.895.743-14|Business office manager|MasterCard
7949|female|Julieta|Martins|Rua Itagiba Fortunato 864|Cascavel|PR|85806-065|Brazil|(45) 9437-7769|4/25/1936|420.404.911-71|Marketing coordinator|MasterCard
7950|female|Larissa|Goncalves|Rua São Alto José 1223|Salvador|BA|40300-145|Brazil|(71) 9245-9232|8/9/1934|280.722.863-15|Clerical assistant|MasterCard
7951|male|Kauan|Barros|Travessa Paulicéia 1476|Fortaleza|CE|60720-520|Brazil|(85) 6874-9346|12/27/1988|593.964.644-14|Casino cage worker|Visa
7952|male|Nicolash|Castro|Rua B 805|Guarujá|SP|11435-020|Brazil|(13) 5425-9526|3/31/1989|162.643.148-54|Machinist|MasterCard
7953|female|Rebeca|Rodrigues|Quadra QE 28 Conjunto B 1166|Guará|DF|71060-022|Brazil|(61) 8746-4828|9/28/1958|293.557.921-66|Nurse informaticist|MasterCard
7954|female|Livia|Cavalcanti|Beco do Cinema Gioconda 1818|Porto Alegre|RS|91900-300|Brazil|(51) 2619-7237|6/16/1988|388.462.508-00|Publicist|MasterCard
7955|female|Maria|Martins|Rua Antônio Mendes Carneiro 947|Sobral|CE|62010-160|Brazil|(88) 9567-2482|3/15/1993|190.608.504-83|Precision printing worker|MasterCard
7956|male|Carlos|Rodrigues|Rua Luíza Marrin 1700|Salvador|BA|41750-220|Brazil|(71) 8112-2548|5/28/1952|199.315.213-09|Safety technician|MasterCard
7957|female|Tânia|Pinto|Travessa do Cristo 1727|Sobral|CE|62020-410|Brazil|(88) 9029-5601|8/30/1975|590.184.539-00|Engine and other machine assembler|Visa
7958|male|Antônio|Fernandes|Rua João Pacheco Almeida Prado Filho 1759|Jaú|SP|17202-435|Brazil|(17) 9132-8536|10/21/1986|603.821.402-06|Sauce cook|MasterCard
7959|female|Anna|Castro|Quadra QR 631 Conjunto 04-A 853|Samambaia|DF|72335-106|Brazil|(61) 4099-6581|11/14/1973|897.561.989-31|Secret Service agent|Visa
7960|female|Tânia|Azevedo|Rua Governador Pedro de Toledo 1042|Piracicaba|SP|13400-075|Brazil|(19) 9078-9401|2/2/1973|644.814.078-67|Bookmobile driver|Visa
7961|male|Vitór|Cunha|Rua Quarenta e Um 1076|Volta Redonda|RJ|27261-240|Brazil|(24) 4707-2151|8/31/1992|682.054.056-62|Certified pest control applicator|MasterCard
7962|female|Clara|Barbosa|Rua Catharina Farsarella Gallego 570|Valinhos|SP|13278-073|Brazil|(19) 2434-2427|5/2/1942|153.155.354-01|Tree trimmer|MasterCard
7963|male|Paulo|Rocha|Rua Piracicaba 1324|Jaboatão dos Guararapes|PE|54160-450|Brazil|(81) 2081-8063|12/2/1931|634.081.352-66|Time recorder|MasterCard
7964|male|Nicolash|Ferreira|Rua São Paulo 529|Divinópolis|MG|35502-025|Brazil|(37) 6192-3826|12/8/1984|565.273.092-79|Wellhead pumper|Visa
7965|male|Gabriel|Melo|Rua Amando de Oliveira Rocha Filho 52|Marília|SP|17511-250|Brazil|(14) 6990-8458|8/23/1939|555.370.080-92|Material recording|MasterCard
7966|female|Vitória|Carvalho|Rua Dursolina Franciscon Gabriel 1361|Itatiba|SP|13252-782|Brazil|(11) 6279-8541|6/17/1986|162.299.516-30|Bricklayer|Visa
7967|male|Breno|Martins|Rua Gabão 857|Embu|SP|06816-490|Brazil|(11) 3566-7758|10/1/1945|501.773.682-41|Training coordinator|Visa
7968|female|Larissa|Correia|Rua Lasar Segall 864|São Paulo|SP|04859-310|Brazil|(11) 8936-5537|3/28/1958|500.607.248-20|Computer forensic investigator|MasterCard
7969|male|Rafael|Barbosa|Rua Anna Bogon Dressler 1877|Campinas|SP|13083-840|Brazil|(19) 2411-9436|9/5/1938|555.584.872-24|Babysitter|MasterCard
7970|male|Arthur|Almeida|Praça Liberato Alfredo Zingara 1647|São Paulo|SP|05127-070|Brazil|(11) 4316-6930|3/23/1969|660.985.882-95|Zookeeper|MasterCard
7971|male|Douglas|Alves|Rua da Penha 1529|Maceió|AL|57017-880|Brazil|(82) 5308-5681|7/10/1952|874.264.381-39|Diesel engine specialist|Visa
7972|female|Luiza|Barros|Rua Alferes Ângelo Sampaio 548|Curitiba|PR|80420-160|Brazil|(41) 3813-8391|1/24/1975|439.508.113-46|Infusion nurse|MasterCard
7973|female|Isabela|Almeida|Rua Lázaro Quintino de Camargo 1301|Hortolândia|SP|13188-280|Brazil|(19) 9564-4928|9/7/1967|164.276.072-27|Hand compositor|Visa
7974|male|Fábio|Rodrigues|Rua José Lobato 748|Cachoeiro de Itapemirim|ES|29302-015|Brazil|(28) 4584-8023|7/22/1989|836.915.976-10|Psychologist|Visa
7975|male|Cauã|Ribeiro|2ª Travessa da Paz 1386|Salvador|BA|40251-120|Brazil|(71) 4239-8251|9/16/1933|970.287.145-00|Clergy|Visa
7976|female|Emily|Gomes|Rua Pedro José da Costa 339|Castanhal|PA|68741-790|Brazil|(91) 7078-9415|4/30/1970|868.606.726-33|Immigration and Naturalization Service (INS) agent|Visa
